popid,mat,cat,delist1,delist2,delist3,status,delist_class,popsize,TPP,priority,FCRPS_BiOp_RPA 35_Imp_2008 ,FCRPS_BiOp_RPA 35_Imp_2013 
144,,,,,0,Extant,Stabilizing,,Very Low,4,None,None
145,,,5685,5685,5685,Extant,Primary,,High,4,None,None
146,,,3208,3208,3208,Extant,Primary,,Very High,4,None,None
147,,,,,0,Extant,Stabilizing,,Very Low,4,None,None
148,,,1900,1900,1900,Extant,Primary,,High,4,None,None
149,,,2000,2000,2000,Extant,Primary,,High,4,None,None
150,,,1900,1900,1900,Extant,Primary,,High,2,None,None
151,,,1500,1500,1500,Extant,Contributing,,Moderate +,4,None,None
152,,,7,7,7,Extant,Stabilizing,,Very Low,4,None,None
215,1000,300,,,,Extirpated,,Intermediate,,,None Extirpated,None Extirpated
216,,,,,,Extirpated,,,,,None Extirpated,None Extirpated
219,500,150,,,,Extirpated,,Small,,,None Extirpated,None Extirpated
220,1000,300,1000,,,Extant,,Intermediate,,2,None,None
221,500,150,,,,Extirpated,,Small,,,None Extirpated,None Extirpated
224,500,150,,,,Extirpated,,Small,,,None Extirpated,None Extirpated
225,,,500,500,500,Extant,Primary,,High,4,None,None
226,,,10671,10671,10671,Extant,Primary,,High,4,None,None
227,,,500,500,500,Extant,Primary,,High,4,None,None
228,,,500,500,500,Extant,Primary,,High,4,None,None
229,,,500,500,500,Extant,Primary,,High,4,None,None
230,,,2008,2008,2008,Extant,Primary,,High (2),4,None,None
231,,,2079,2079,2079,Extant,Primary,,High,4,None,None
232,,,500,500,500,Extant,Primary,,High,4,None,None
233,,,600,600,600,Extant,Primary,,High+,4,None,None
234,,,400,400,400,Extant,Contributing,,Moderate,4,None,None
235,,,300,300,300,Extant,Primary,,High,4,None,None
236,,,400,400,400,Extant,Contributing,,Moderate,4,None,None
237,,,600,600,600,Extant,Primary,,High,4,None,None
238,,,,,0,Extant,Stabilizing,,Very Low,4,None,None
239,,,,,0,Extant,Stabilizing,,Very Low,4,None,None
240,,,1519,1519,1519,Extant,Primary,,Very High,4,None,None
241,,,600,600,600,Extant,Primary,,High+,4,None,None
242,,,200,200,200,Extant,Contributing,,Low,4,None,None
243,,,500,500,500,Extant,Primary,,High,4,None,None
244,,,,,0,Extant,Stabilizing,,Low,4,None,None
245,,,500,500,500,Extant,Primary,,High,4,None,None
246,,,350,350,350,Extant,Contributing,,Moderate,4,None,None
247,,,1000,1000,1000,Extant,Primary,,Very High,2,None,None
248,2250,675,,,0,Extirpated (reintroduction), ,Very Large,,3,None Extirpated,None Extirpated
249,1000,300,1000,1000,1000,Extant,Viable,Intermediate,,2,1*,1*
250,1500,450,1500,1500,1500,Extant,Viable,Large,,2,<1*,<1*
251,500,150,500,500,500,Extant,Viable,Basic,,2,<1*,<1*
252,2250,675,2250,2250,2250,Extant,Viable,Very Large,,2,<1*,<1*
253,1000,300,1000,300,100,Extant,Maintained,Intermediate,,2,<1*,<1*
254,1000,300,1000,1000,1000,Extant,Viable,Intermediate,,2,4*,4*
255,1000,300,1000,300,1000,Extant,Viable,Intermediate,,2,<1*,<1*
256,1500,450,1500,700,1500,Extant,Viable,Large,,2,4*,4*
257,1500,450,1500,1500,1500,Extant,Viable,Large,,2,<1*,<1*
258,500,150,225,225,100,Extant,Maintain,Basic,,3,None,None
259,1000,300,1000,300,1000,Extant,Viable,Intermediate,,2,4*,4*
260,500,150,225,225,100,Extant,Maintained,Basic,,2,1*,1*
261,500,150,225,225,250,Extant,Maintained,Basic,,2,4*,4*
262,1000,300,1000,300,100,Extant,Maintained,Intermediate,,2,4,4
263,1500,450,1500,1500,1500,Extant,Viable,Large,,2,4,4
264,1000,300,1000,300,1000,Extant,Viable,Intermediate,,2,4*,4*
265,500,150,,,0,Functionally Extirpated, ,Basic,,,None,None
266,,,,,0,Functionally Extirpated, ,Intermediate,,,None Extirpated,None Extirpated
267,1500,450,1500,700,500,Extant,Maintained,Large,,2,4*,4*
300,500,150,500,500,500,Extant,Viable,Basic,,2,4*,(+1)
301,1000,300,1000,1000,1000,Extant,Viable,Intermediate,,1,2,1.6
302,500,150,500,500,500,Extant,Viable,Basic,,3,None,None
303,1500,450,1500,1500,1500,Extant,Viable,Large,,3,None,None
304,1000,300,700,700,100,Extant,Maintained,Intermediate,,2,2*,0
305,1000,300,750,700,100,Extant,Maintained,Intermediate,,2,<1*,<.09
306,1500,450,1500,1500,1500,Extant,Viable,Large,,2,4*,1
307,500,150,,,,Functionally Extirpated,,Basic,,2,None,None
309,1000,300,1000,1000,1000,Extant,Viable,Intermediate,,2,<1,0
310,500,150,425,425,425,Extant,Viable,Basic,,2,"<1 * (OR), 4*  (WA)",".06 * (OR), 0  (WA)"
311,1000,300,1000,1000,1000,Extant,Viable,Intermediate,,2,3*,(+21)
312,1000,300,500,500,100,Extant,Maintained,Intermediate,,3,None,None
313,1000,300,1000,1000,1000,Extant,Viable,Intermediate,,1,16,10
314,500,150,425,425,100,Extant,Maintained,Basic,,1,12,9
315,1000,300,1000,1000,1000,Extant,Viable,Intermediate,,3,None,None
316,1500,450,,,0,Extirpated,Excluded,Large,,3,None Extirpated,None Extirpated
317,500,150,425,425,100,Extant,Maintained,Basic,,3,None,None
318,1000,300,700,700,100,Extant,Maintained,Intermediate,,2,9*,(+18)
319,500,150,500,500,500,Extant,Viable,Basic,,3,None,None
320,1000,300,700,700,100,Extant,Maintained,Intermediate,,2,6*,2
321,500,150,425,425,100,Extant,Maintained,Basic,,1,6,1
322,1000,300,1000,1000,1000,Extant,Viable,Intermediate,,1,<1,<.09
323,1000,300,700,700,100,Extant,Maintained,Intermediate,,1,14,10
324,1000,300,1000,1000,1000,Extant,Viable,Intermediate,,1,1,0
325,1000,300,1000,1000,1000,Extant,Viable,Intermediate,,2,5* ,2
326,1000,300,750,700,750,Extant,Maintained,Intermediate,,2,<1*,(+1.9)
327,,,,,0,Functionally Extirpated,Reconsider,Intermediate,,,None Extirpated,None Extirpated
328,500,150,500,500,500,Extant,Viable,Basic,,1,8,5
329,1000,300,1000,1000,1000,Extant,Viable,Intermediate,,1,4,2
330,1000,300,1000,1000,1000,Extant,Viable,Intermediate,,1,14,7
331,1000,300,1000,1000,1000,Extant,Viable,Intermediate,,1,4,2
332,,,5512,5512,5512,Extant,,,Moderate,,,
333,,,3226,3226,3226,Extant,,,Low,,,
334,,,8362,8362,8362,Extant,,,Low,4,None,None
335,,,3912,3912,3912,Extant,,,Low,,,
337,750,225,,,,Functionally Extirpated,Reconsider,Intermediate,,2,None Extirpated,None Extirpated
