NMFS_POPID,RECOVERY_DOMAIN,ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,NWR_Population_name,Population_RunTime,SPECIES,RUN_TIMING,STREAM_NAME,START_YEAR,END_YEAR,BROOD_YEAR,VIABILITY_TYPE,NUMBER_OF_SPAWNERS,SPAWNER_NOTES,FRACWILD,HATCHERY_FRACTION,HATCHERY_FRACTION_NOTES,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_1_HARVEST,AGE_2_HARVEST,AGE_3_HARVEST,AGE_4_HARVEST,AGE_5_HARVEST,AGE_6_HARVEST,AGE_7_HARVEST,REGIME,AGE_NOTES,ABUND_COUNT_EXTERNAL_FILE_1_LI,ABUND_COUNT_EXTERNAL_FILE_2_LI,POPULATION_DB_ID,TOTAL_SPAWNERS_WITH_JACKS,NATURAL_SPAWNERS_WITH_JACKS,NATURAL_ADULT_ANNUAL_RUN_4_6,JACK_FRAC_OF_HATCHERY_SPAWNERS,ADULT_NATURAL_HARVEST_RATE,NAT_NO_ORIGIN_BROOD_STOCK,ADULT_BROOD_RETURNS,SAR_ADJUSTED_ADULT_BRD_RETURNS,LINK_REFERENCE_S,ADJUSTED_LINK_REFERENCE_S,ATTRIBUTE_SCOPE_TYPE,INCLUDE_AGE2,HATCHERY_RETURN,HATCHERY_RETURN_NOR,NUMBER_USED_FOR_BROODSTOCK,FRACTION_BROODSTOCK_TAKEN_NOR,AGE_DATA_TYPE,AGE_DETERMINATION_SAMPLE_SIZE,AEQ_CATCH_AGE2_OCEAN,CO2_DATA_TYPE,AEQ_CATCH_AGE3_OCEAN,CO3_DATA_TYPE,AEQ_CATCH_AGE4_OCEAN,CO4_DATA_TYPE,AEQ_CATCH_AGE5_OCEAN,CO5_DATA_TYPE,CATCH_AGE2_TERMINAL_FISHERIES,CTF2_DATA_TYPE,CATCH_AGE3_TERMINAL_FISHERIES,CTF3_DATA_TYPE,CATCH_AGE4_TERMINAL_FISHERIES,CTF4_DATA_TYPE,CATCH_AGE5_TERMINAL_FISHERIES,CTF5_DATA_TYPE,PPM_POSTFISHERY_PRESPAWN_MORT,PPM_AGE2,PPM_AGE3,PPM_AGE4,PPM_AGE5,RETURN_POTENTIAL,RETURN_POTENTIAL_AGE2,RETURN_POTENTIAL_AGE3,RETURN_POTENTIAL_AGE4,RETURN_POTENTIAL_AGE5,SAIP_STOCK_ID,SAIP_ABUNDANCE,SAIP_CATCH,SAIP_ANTHROPOGENIC,SAIP_LIFE_HISTORY,SAIP_ASSESSMENT_MODEL,SAIP_FREQUENCY,QAQC_FLAG
11,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Kalama River,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River-Fall-run,Chinook,Fall-run,,1964,2014,1987,,9632,,0.5,,,-99,0,0.044,0.367,0.58,0.01,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Kalama River,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River-Fall-run,Chinook,Fall-run,,1964,2014,1988,,24279,,0.5,,,-99,0,0.013,0.478,0.42,0.089,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Kalama River,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River-Fall-run,Chinook,Fall-run,,1964,2014,1989,,20413,,0.5,,,-99,0,0.02,0.187,0.709,0.084,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Kalama River,Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run,Kalama River-Fall-run,Chinook,Fall-run,,1964,2014,1990,,2054,,0.5,,,-99,0,0.017,0.401,0.386,0.196,0,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Lower Cowlitz River,Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run,Lower Cowlitz River-Fall-run,Chinook,Fall-run,,1964,2013,1977,,5837,,0.26,,,-99,0,0.133,0.031,0.684,0.147,0.004,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Lower Cowlitz River,Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run,Lower Cowlitz River-Fall-run,Chinook,Fall-run,,1964,2013,1978,,3192,,0.26,,,-99,0,0.007,0.486,0.13,0.372,0.006,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Lower Cowlitz River,Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run,Lower Cowlitz River-Fall-run,Chinook,Fall-run,,1964,2013,1979,,8253,,0.26,,,-99,0,0.063,0.01,0.889,0.031,0.006,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Lower Cowlitz River,Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run,Lower Cowlitz River-Fall-run,Chinook,Fall-run,,1964,2013,1980,,2418,,0.26,,,-99,0,0.029,0.294,0.056,0.62,0.002,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Lower Cowlitz River,Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run,Lower Cowlitz River-Fall-run,Chinook,Fall-run,,1964,2013,1981,,3991,,0.26,,,-99,0,0.077,0.069,0.817,0.02,0.016,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Willamette/Lower Columbia,"Salmon, Chinook (Lower Columbia River ESU)",Cascade,Lower Cowlitz River,Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run,Lower Cowlitz River-Fall-run,Chinook,Fall-run,,1964,2013,1982,,3024,,0.26,,,-99,0,0.021,0.271,0.278,0.429,0.001,-99,,,,,,,,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
