NMFS_POPID,RECOVERY_DOMAIN,ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,NWR_Population_name,Population_RunTime,SPECIES,RUN_TIMING,STREAM_NAME,START_YEAR,END_YEAR,BROOD_YEAR,VIABILITY_TYPE,NUMBER_OF_SPAWNERS,SPAWNER_NOTES,FRACWILD,HATCHERY_FRACTION,HATCHERY_FRACTION_NOTES,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS,AGE_1_HARVEST,AGE_2_HARVEST,AGE_3_HARVEST,AGE_4_HARVEST,AGE_5_HARVEST,AGE_6_HARVEST,AGE_7_HARVEST,REGIME,AGE_NOTES,ABUND_COUNT_EXTERNAL_FILE_1_LI,ABUND_COUNT_EXTERNAL_FILE_2_LI,POPULATION_DB_ID,TOTAL_SPAWNERS_WITH_JACKS,NATURAL_SPAWNERS_WITH_JACKS,NATURAL_ADULT_ANNUAL_RUN_4_6,JACK_FRAC_OF_HATCHERY_SPAWNERS,ADULT_NATURAL_HARVEST_RATE,NAT_NO_ORIGIN_BROOD_STOCK,ADULT_BROOD_RETURNS,SAR_ADJUSTED_ADULT_BRD_RETURNS,LINK_REFERENCE_S,ADJUSTED_LINK_REFERENCE_S,ATTRIBUTE_SCOPE_TYPE,INCLUDE_AGE2,HATCHERY_RETURN,HATCHERY_RETURN_NOR,NUMBER_USED_FOR_BROODSTOCK,FRACTION_BROODSTOCK_TAKEN_NOR,AGE_DATA_TYPE,AGE_DETERMINATION_SAMPLE_SIZE,AEQ_CATCH_AGE2_OCEAN,CO2_DATA_TYPE,AEQ_CATCH_AGE3_OCEAN,CO3_DATA_TYPE,AEQ_CATCH_AGE4_OCEAN,CO4_DATA_TYPE,AEQ_CATCH_AGE5_OCEAN,CO5_DATA_TYPE,CATCH_AGE2_TERMINAL_FISHERIES,CTF2_DATA_TYPE,CATCH_AGE3_TERMINAL_FISHERIES,CTF3_DATA_TYPE,CATCH_AGE4_TERMINAL_FISHERIES,CTF4_DATA_TYPE,CATCH_AGE5_TERMINAL_FISHERIES,CTF5_DATA_TYPE,PPM_POSTFISHERY_PRESPAWN_MORT,PPM_AGE2,PPM_AGE3,PPM_AGE4,PPM_AGE5,RETURN_POTENTIAL,RETURN_POTENTIAL_AGE2,RETURN_POTENTIAL_AGE3,RETURN_POTENTIAL_AGE4,RETURN_POTENTIAL_AGE5,SAIP_STOCK_ID,SAIP_ABUNDANCE,SAIP_CATCH,SAIP_ANTHROPOGENIC,SAIP_LIFE_HISTORY,SAIP_ASSESSMENT_MODEL,SAIP_FREQUENCY,QAQC_FLAG,Date_Added,Date_Updated
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,1989,,94,,1,,,-99,0,0,0.001,0.352,0.647,0,0,,,,,,,,-99,,,,,-99,,94,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,1990,,196,,1,,,-99,0,0,0.005,0.466,0.529,0,0,,,,,,,,-99,,,,,-99,,195,,0.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,1991,,191,,1,,,-99,0,0,0.018,0.252,0.73,0,0,,,,,,,,-99,,,,,-99,,188,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,1992,,185,,1,,,-99,0,0,0.006,0.449,0.545,0,0,,,,,,,,-99,,,,,-99,,184,,0.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,1993,,738,,1,,,-99,0,0,0,0.143,0.857,0,0,,,,,,,,-99,,,,,-99,,738,,0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,1994,,34,,1,,,-99,0,0,0.036,0.37,0.594,0,0,,,,,,,,-99,,,,,-99,,33,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,1995,,17,,1,,,-99,0,0,0.036,0.37,0.594,0,0,,,,,,,,-99,,,,,-99,,16,,0.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,1996,,60,,1,,,-99,0,0,0.038,0.692,0.271,0,0,,,,,,,,-99,,,,,-99,,58,,0.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,1997,,234,,1,,,-99,0,0,0.032,0.512,0.453,0,0,,,,,,,,-99,,,,,-99,,226,,0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,1998,,391,,1,,,-99,0,0,0,0.037,0.877,0.086,0,,,,,,,,-99,,,,,-99,,357,,0.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,1999,,81,,1,,,-99,0,0,0.115,0.654,0.154,0.077,0,,,,,,,,-99,,,,,-99,,65,,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,2000,,325,,1,,,-99,0,0,0,0.815,0.185,0,0,,,,,,,,-99,,,,,-99,,325,,0.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,2001,,740,,1,,,-99,0,0,0,0.81,0.19,0,0,,,,,,,,-99,,,,,-99,,740,,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,2002,,1177,,1,,,-99,0,0,0.014,0.394,0.577,0.014,0,,,,,,,,-99,,,,,-99,,1143,,0.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,2003,,1315,,1,,,-99,0,0,0,0.036,0.94,0.024,0,,,,,,,,-99,,,,,-99,,1283,,0.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,2004,,342,,1,,,-99,0,0,0.03,0.894,0.076,0,0,,,,,,,,-99,,,,,-99,,332,,0.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,2005,,306,,1,,,-99,0,0,0,0.453,0.528,0.019,0,,,,,,,,-99,,,,,-99,,300,,0.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,2006,,158,,1,,,-99,0,0,0,0.667,0.333,0,0,,,,,,,,-99,,,,,-99,,158,,0.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,2007,,312,,1,,,-99,0,0,0.019,0.159,0.785,0.037,0,,,,,,,,-99,,,,,-99,,295,,0.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
58,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Middle Fork Salmon River,Bear Valley Creek,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,Bear Valley Creek-Spring/Summer-run,Chinook,Spring/Summer-run,,1957,2014,2008,,437,,1,,,-99,0,0,0.027,0.479,0.452,0.041,0,,,,,,,,-99,,,,,-99,,407,,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/24/2015,
